City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
54,madang,-5.2246,145.7966,298.53,92,100,1.57,PG,1702329620
55,mil'kovo,55.6078,37.7956,266.67,92,100,6.77,RU,1702329620
56,dudinka,69.4058,86.1778,248.53,98,100,6.26,RU,1702329621
57,port moresby,-9.4431,147.1797,297.83,94,20,2.57,PG,1702329621
58,i-n-salah,27.1935,2.4607,289.89,33,0,5.45,DZ,1702329621
59,badger,64.8,-147.5333,265.08,86,100,0.0,US,1702329622
60,machakos,-1.5167,37.2667,290.12,97,100,1.08,KE,1702329623
61,port mathurin,-19.6833,63.4167,299.18,76,91,3.12,MU,1702329623
62,college,64.8569,-147.8028,265.12,82,100,0.0,US,1702329480
63,kununurra,-15.7667,128.7333,301.14,83,100,0.0,AU,1702329624
64,fortuna,40.5982,-124.1573,290.33,80,0,0.89,US,1702329624
65,embrun,44.5639,6.4953,279.41,100,100,0.85,FR,1702329440
66,atafu village,-8.5421,-172.5159,301.6,80,100,11.29,TK,1702329624
67,qaqortoq,60.7167,-46.0333,271.44,96,100,5.77,GL,1702329625
68,gaiman,-43.2897,-65.4929,295.02,32,13,5.32,AR,1702329625
69,ushuaia,-54.8,-68.3,283.96,43,0,1.54,AR,1702329626
70,puerto natales,-51.7236,-72.4875,285.4,47,75,8.75,CL,1702329626
71,dalcahue,-42.3628,-73.7022,286.21,82,100,3.09,CL,1702329626
72,bilibino,68.0546,166.4372,253.49,94,100,1.58,RU,1702329627
73,nemuro,43.3236,145.575,274.14,74,100,3.87,JP,1702329627
74,alofi,-19.0595,-169.9187,299.09,83,88,3.6,NU,1702329628
75,olonkinbyen,70.9221,-8.7187,272.86,99,100,5.06,SJ,1702329629
76,saint-pierre,-21.3393,55.4781,297.97,73,0,5.66,RE,1702329505
77,namie,37.4833,141.0,283.55,93,100,1.71,JP,1702329629
78,keflavik,64.0049,-22.5624,272.39,80,40,4.12,IS,1702329630
79,braganca,-1.0536,-46.7656,300.12,76,35,2.8,BR,1702329537
80,paciran,-6.8767,112.3761,298.89,80,100,4.18,ID,1702329353
81,puerto aysen,-45.4,-72.7,285.61,79,96,2.57,CL,1702329631
82,waitangi,-43.9535,-176.5597,286.94,91,100,3.13,NZ,1702329631
83,mount pearl,47.5166,-52.7813,285.44,95,75,8.75,CA,1702329631
84,acajutla,13.5928,-89.8275,305.03,52,34,1.08,SV,1702329467
